THETA2,MCF_x,MCF_y,IFP_x,IFP_y,IFD_x,IFD_y,PF_x,PF_y,D3_x,D3_y,Pa_x,Pa_y,P3_x,P3_y,THETAfp,THETAfm,THETAfd
41.000,-9.0000,-20.0000,-56.5050,-32.0114,-78.2746,-46.2270,-84.2401,-69.4738,-81.0894,-11.3404,-68.6292,-33.0139,-100.2019,-17.6063,194.190,213.145,255.608
42.000,-9.0000,-20.0000,-56.4296,-32.3057,-78.0653,-46.7243,-83.7592,-70.0391,-81.2869,-11.8729,-68.5473,-33.3834,-100.2593,-18.3099,194.545,213.681,256.276
43.000,-9.0000,-20.0000,-56.3522,-32.6004,-77.8508,-47.2227,-83.2693,-70.6030,-81.4832,-12.4117,-68.4629,-33.7535,-100.3120,-19.0191,194.901,214.222,256.952
44.000,-9.0000,-20.0000,-56.2727,-32.8955,-77.6309,-47.7221,-82.7701,-71.1654,-81.6783,-12.9569,-68.3760,-34.1241,-100.3600,-19.7340,195.258,214.768,257.635
45.000,-9.0000,-20.0000,-56.1911,-33.1909,-77.4055,-48.2225,-82.2616,-71.7261,-81.8720,-13.5087,-68.2865,-34.4952,-100.4031,-20.4545,195.617,215.320,258.326
46.000,-9.0000,-20.0000,-56.1074,-33.4867,-77.1747,-48.7239,-81.7437,-72.2849,-82.0642,-14.0671,-68.1944,-34.8668,-100.4412,-21.1809,195.976,215.877,259.025
47.000,-9.0000,-20.0000,-56.0217,-33.7827,-76.9382,-49.2261,-81.2163,-72.8417,-82.2549,-14.6323,-68.0997,-35.2389,-100.4742,-21.9130,196.337,216.440,259.732
48.000,-9.0000,-20.0000,-55.9338,-34.0791,-76.6961,-49.7292,-80.6793,-73.3963,-82.4438,-15.2043,-68.0024,-35.6114,-100.5019,-22.6509,196.698,217.008,260.447
49.000,-9.0000,-20.0000,-55.8438,-34.3757,-76.4483,-50.2330,-80.1327,-73.9485,-82.6309,-15.7834,-67.9025,-35.9843,-100.5241,-23.3946,197.061,217.582,261.169
50.000,-9.0000,-20.0000,-55.7517,-34.6725,-76.1946,-50.7376,-79.5764,-74.4981,-82.8159,-16.3696,-67.7999,-36.3576,-100.5409,-24.1442,197.424,218.162,261.900
51.000,-9.0000,-20.0000,-55.6574,-34.9696,-75.9350,-51.2428,-79.0102,-75.0449,-82.9989,-16.9630,-67.6947,-36.7312,-100.5519,-24.8996,197.788,218.748,262.638
52.000,-9.0000,-20.0000,-55.5610,-35.2668,-75.6695,-51.7485,-78.4342,-75.5887,-83.1795,-17.5637,-67.5868,-37.1052,-100.5571,-25.6610,198.154,219.339,263.385
53.000,-9.0000,-20.0000,-55.4624,-35.5642,-75.3979,-52.2548,-77.8482,-76.1294,-83.3577,-18.1719,-67.4762,-37.4794,-100.5563,-26.4283,198.520,219.937,264.140
54.000,-9.0000,-20.0000,-55.3617,-35.8617,-75.1202,-52.7615,-77.2522,-76.6666,-83.5333,-18.7877,-67.3630,-37.8539,-100.5493,-27.2016,198.887,220.541,264.904
55.000,-9.0000,-20.0000,-55.2588,-36.1594,-74.8362,-53.2686,-76.6460,-77.2002,-83.7062,-19.4112,-67.2470,-38.2286,-100.5361,-27.9809,199.256,221.151,265.675
56.000,-9.0000,-20.0000,-55.1537,-36.4571,-74.5459,-53.7759,-76.0298,-77.7300,-83.8760,-20.0424,-67.1284,-38.6036,-100.5164,-28.7662,199.625,221.767,266.455
57.000,-9.0000,-20.0000,-55.0464,-36.7549,-74.2492,-54.2835,-75.4033,-78.2558,-84.0427,-20.6816,-67.0070,-38.9787,-100.4900,-29.5576,199.995,222.390,267.244
58.000,-9.0000,-20.0000,-54.9370,-37.0528,-73.9461,-54.7912,-74.7665,-78.7772,-84.2061,-21.3289,-66.8828,-39.3540,-100.4568,-30.3551,200.366,223.020,268.041
